ID	VACINA	FAKE	RESPOSTA	FONTES
15	Vacina papilomavírus humano 6, 11, 16 e 18	a vacina contra o HPV incentiva a promiscuidade	"Uma pesquisa publicada no periódico ""Pediatrics"" pode ajudar a aplacar o medo de iniciação a vida sexual precoce. Analisando uma amostragem de 1.398 meninas, os pesquisadores não encontraram nenhuma evidência de que aquelas que foram vacinadas aos 11 anos tenham passado a se envolver em mais atividade sexual do que meninas que não foram vacinadas"	https://www.otempo.com.br/brasil/vacina-anti-hpv-n%C3%A3o-incentiva-jovens-a-iniciarem-vida-sexual-1.360908
16	Vacina papilomavírus humano 6, 11, 16 e 18	a vacina do HPV tem eficácia de 5 anos	Segundo a national cancer institute a eficacia da vacina contra o HPV é de 9 anos ou mais	https://www.inca.gov.br/en/node/1544
17	Vacina papilomavírus humano 6, 11, 16 e 18	a vacina do HPV faz mal	Segue a referência para responder 15 dúvidas sobre as o assunto vacina contra o HPV	https://www.vix.com/pt/bdm/saude-mulher/vacina-contra-hpv-medico-responde-15-duvidas-mais-frequentes
18	Vacina papilomavírus humano 6, 11, 16 e 18	vacina contra o HPV incentiva o sexo sem preservativo	Existem outras doenças sexualmente transmissíveis além do HPV, por isso o preservativo sempre deve ser usado	https://www.scielosp.org/scielo.php?pid=S0102-311X2004000100046&script=sci_arttext&tlng=pt
19	Vacina papilomavírus humano 6, 11, 16 e 18	HPV não faz mal	O objetivo da imunização é evitar a infecção pelos quatro tipos mais prevalentes de HPV, um vírus que pode provocar, entre outros sintomas, a formação de verrugas na pele e nas regiões oral (lábios, boca, cordas vocais), anal, genital e da uretra, além de ser um fator de risco aumenta a chance de ter câncer.	https://drauziovarella.uol.com.br/mulher-2/a-seguranca-da-vacina-contra-o-hpv/
20	Vacina papilomavírus humano 6, 11, 16 e 18	a vacina do HPV não é eficaz	Segurança e eficácia da vacina contra o HPV são comprovadas; meninos e meninas devem ser vacinados antes de iniciarem a vida sexual.	https://drauziovarella.uol.com.br/cancer/eficacia-e-seguranca-da-vacina-contra-o-hpv-sao-comprovadas/
21	Vacina sarampo, caxumba, rubéola	sarampo não é mortal	Durante o período de 2000 a 2017, a vacinação contra o sarampo evitou cerca de 21,1 milhões de mortes. As mortes globais por sarampo diminuíram em 80%, de 545.000 em 2000 * para 110.000 em 2017.	https://www.who.int/en/news-room/fact-sheets/detail/measles
22	Varicela atenuada	varicela não é grande coisa	A cada ano, a varicela causava cerca de 4 milhões de casos, cerca de 10.600 internações e 100 a 150 mortes.	https://www.cdc.gov/vaccines/vpd/varicella/index.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fvaccines%2Fvpd-vac%2Fvaricella%2Fdefault.htm
23	Vacina sarampo, caxumba, rubéola e varicela	catapora não é grande coisa	A cada ano, a varicela causava cerca de 4 milhões de casos, cerca de 10.600 internações e 100 a 150 mortes.	https://www.cdc.gov/vaccines/vpd/varicella/index.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fvaccines%2Fvpd-vac%2Fvaricella%2Fdefault.htm
24	TODAS	coqueluche não é tão ruim para as crianças	Coqueluche é uma doença grave para pessoas de todas as idades, mas especialmente para bebês.	https://www.cdc.gov/pertussis/vaccines.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Ffeatures%2Fpertussis%2Findex.html
25	TODAS	vacinas não são muito eficazes para evitar as doenças	Receber a vacina é uma das formas mais seguras para evitar doenças. Esta proteção, tão importante em diversas fases da vida, está disponível gratuitamente nos serviços públicos do Sistema Único de Saúde (SUS).	http://www.blog.saude.gov.br/index.php/promocao-da-saude/52650-a-vacinacao-ainda-e-a-melhor-forma-de-prevenir-contra-doencas
26	TODAS	infecção natural é melhor que a vacinação	O preço pago pela imunidade através de infecção natural inclui deficiências cognitivas de Haemophilus influenzae tipo b (Hib), defeitos congênitos da rubéola, câncer de fígado do vírus da hepatite B ou morte por complicações pelo sarampo.	https://www.segurancadopaciente.com.br/ev-adversos-riscos/boa-higiene-nao-e-suficiente-para-barrar-doencas-infecciosas-vacinacao-e-imprescindivel/
27	TODAS	as vacinas não foram rigorosamente testadas	Vacinas são testadas assim como todos medicamentos sérios	https://pediatrics.aappublications.org/content/123/1/e164.full
28	Vacina sarampo, caxumba, rubéola	vacinas geram autismo	Estudos de segurança de vacinas são constantemente realizados e publicados, e vários estudos mostram que não tem nenhuma relação o autismo com a vacina	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0003140
29	TODAS	thimerosal contido nas vacinas causa autismo	Os pesquisadores então submeteram crianças que tiveram contato com mercúrio antes e depois de nascimento a mais de 40 testes neurológicos, psicológicos e de desenvolvimento e não encontraram diferenças significativas para aqueles que receberam quantidades maiores ou menores de mercúrio.	https://www.nejm.org/doi/full/10.1056/NEJMoa071434
30	TODAS	mercúrio nas vacinas causa autismo	Os pesquisadores então submeteram crianças que tiveram contato com mercúrio antes e depois de nascimento a mais de 40 testes neurológicos, psicológicos e de desenvolvimento e não encontraram diferenças significativas para aqueles que receberam quantidades maiores ou menores de mercúrio.	https://www.nejm.org/doi/full/10.1056/NEJMoa071434
31	TODAS	alumínio contido nas vacinas é prejudicial para as crianças.	O leite materno tem mais alumínio que as vacinas,a quantidade de alumínio encontrado na vacina não tem risco para as crianças	https://pediatrics.aappublications.org/content/123/1/e164.full
32	TODAS	remédios naturais e alternativos são melhores que os científicos	Se não fosse a vacina, diz o ministério, o Brasil não teria enfrentado um dos maiores desafios de sua saúde pública. Até a erradicação, foram 26.827 casos de poliomielite entre 1968 e 1989.	https://g1.globo.com/bemestar/noticia/brasil-teve-26-mil-casos-de-polio-de-68-a-89-e-nao-registra-casos-ha-30-anos-entenda.ghtml
33	TODAS	remédios naturais e alternativos são melhores	A última década sofreu declínios substanciais em casos, hospitalizações, mortes e custos de assistência médica associados a doenças evitáveis ​​por vacinação.	https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6019a5.htm
34	TODAS	conservantes nas vacinas não faz bem	A quantidades de mercúrio, alumínio, formaldeído, albumina de soro humano, antibióticos e proteínas de levedura em vacinas não foram consideradas prejudiciais em humanos ou animais.	https://pediatrics.aappublications.org/content/112/6/1394.full
35	TODAS	não entendo com as vacinas funcionam	Existem várias fontes confiáveis. Um bom exemplo é o manual de vacinação	http://bvsms.saude.gov.br/bvs/publicacoes/manual_procedimentos_vacinacao.pdf
36	Vacina papilomavírus humano 6, 11, 16 e 18	a vacina do HPV oferece riscos	Ministério da Saúde assegura que vacina contra HPV não traz riscos	http://agenciabrasil.ebc.com.br/geral/noticia/2014-03/ministerio-da-saude-assegura-que-vacina-contra-hpv-nao-traz-riscos
37	Vacina papilomavírus humano 6, 11, 16 e 18	vacina do HPV é um incentivo para a vida sexual precoce	Por o HPV ser um vírus na que afeta a derme, a via sexual não é a única forma de contágio, até mesmo usar roupas íntimas de um pessoas contagiada.	http://revista.srvroot.com/linkscienceplace/index.php/linkscienceplace/article/view/13/8
38	TODAS	não existem doenças erradicadas pela vacinas	No Brasil, a vacinação foi responsável pela erradicação da varíola e da poliomielite (paralisia infantil)	http://agenciabrasil.ebc.com.br/saude/noticia/2018-07/saiba-quais-doencas-voltaram-ameacar-o-brasil
39	TODAS	o que combate as doenças é o sistema imunológico e não vacinas	Sim. Porém o sistema imune é lento para reconhecer novas doenças, por isso que as vacinas servem para preparar o sistema imunológico para as doenças que o corpo ainda não teve contato sem oferecer os riscos de um infecção	http://bvsms.saude.gov.br/bvs/publicacoes/manual_procedimentos_vacinacao.pdf
